team,P(R32),P(R16),P(QF),P(SF),P(Final),P(Winner)
Argentina,0.99954,0.82306,0.5723,0.4499,0.30896,0.20152
Brazil,1.0,0.71352,0.56156,0.4021,0.26594,0.15694
Spain,1.0,0.68678,0.4625,0.34152,0.19422,0.11502
England,0.99898,0.74142,0.5282,0.34136,0.18968,0.09674
France,0.99664,0.73684,0.5215,0.28488,0.14528,0.0683
Portugal,0.86286,0.626,0.31442,0.2125,0.10936,0.05656
Colombia,0.99014,0.73982,0.33188,0.21692,0.1125,0.056
Belgium,0.88828,0.61034,0.42928,0.18784,0.08982,0.0444
Netherlands,1.0,0.46246,0.28226,0.13894,0.07018,0.02972
Germany,1.0,0.71068,0.33896,0.1481,0.06852,0.02614
Morocco,1.0,0.49226,0.2734,0.11244,0.05056,0.01924
Japan,1.0,0.43292,0.22936,0.10022,0.04492,0.0169
Uruguay,0.562,0.2931,0.16144,0.08898,0.0384,0.0165
Switzerland,1.0,0.59274,0.22976,0.08006,0.0311,0.0101
Australia,0.93878,0.45062,0.2266,0.0683,0.02524,0.00938
Norway,0.98016,0.53936,0.2141,0.07954,0.02672,0.00784
Iran,0.72682,0.38776,0.20566,0.06398,0.02218,0.00746
United States,1.0,0.68304,0.3035,0.09114,0.02516,0.0073
Algeria,0.68694,0.26608,0.12074,0.05048,0.01746,0.00656
Croatia,0.82326,0.34248,0.11374,0.0565,0.01816,0.00626
Mexico,1.0,0.52264,0.17272,0.07036,0.022,0.00598
Senegal,0.6267,0.31092,0.13946,0.0504,0.01678,0.0056
Austria,0.94648,0.32496,0.13036,0.05182,0.01552,0.00498
Canada,1.0,0.51024,0.19656,0.05044,0.01674,0.00464
South Korea,0.93398,0.41682,0.13052,0.0427,0.0136,0.0039
Ecuador,0.31122,0.1613,0.0665,0.02956,0.01142,0.00388
Egypt,0.71294,0.32302,0.14646,0.03648,0.01066,0.00312
Ivory Coast,0.95094,0.36872,0.12542,0.0392,0.01148,0.00298
Sweden,0.9312,0.33132,0.11422,0.035,0.01042,0.00268
Paraguay,0.74974,0.24364,0.09144,0.02236,0.00634,0.00144
Czech Republic,0.23426,0.08572,0.03122,0.00706,0.00172,0.00046
Uzbekistan,0.3352,0.09078,0.02438,0.00754,0.00174,0.00036
Scotland,0.7302,0.1671,0.0394,0.00916,0.00202,0.00032
DR Congo,0.44426,0.11,0.02252,0.00594,0.00098,0.00018
New Zealand,0.37754,0.1133,0.0331,0.005,0.00088,0.00014
Ghana,0.76588,0.1345,0.01878,0.00472,0.0007,0.00012
Turkey,0.10224,0.02788,0.00994,0.00294,0.00074,0.0001
Cape Verde,0.63978,0.07418,0.01406,0.00286,0.00038,6e-05
Qatar,0.38388,0.09562,0.02118,0.0025,0.00028,6e-05
Iraq,0.1228,0.03102,0.00872,0.00144,0.00028,4e-05
Saudi Arabia,0.36514,0.04696,0.00958,0.0024,0.00034,4e-05
Bosnia and Herzegovina,0.33432,0.07966,0.0168,0.0021,0.00018,2e-05
South Africa,0.1882,0.04638,0.00824,0.00132,0.00028,2e-05
Jordan,0.0953,0.01686,0.00358,0.00042,6e-05,0.0
Haiti,0.01794,0.00204,0.00022,0.0,0.0,0.0
Curaçao,0.1169,0.01272,0.00116,0.0001,0.0,0.0
Tunisia,4e-05,0.0,0.0,0.0,0.0,0.0
Panama,0.12852,0.02042,0.0023,0.00048,0.0001,0.0
